id,name,description,price,original_price,images,brand,size,category,condition,color,in_stock,visible,material,measurements,care_instructions,tags,seller_name,seller_rating,seller_location,views,likes,company_id,display_order,reservation_status,reserved_by_order_id,created_at,updated_at
17,Black Lace-Up Front Mini Skirt,"Black A-line mini skirt featuring a central lace-up detail with silver-tone grommets. Crafted from a matte, woven fabric, likely a cotton blend.

Style notes: Pair with a graphic tee and boots for an edgy vibe, or a blouse and heels for a night out.",20.00,20.00,"17_black-lace-up-front-mini-skirt_1.jpg, 17_black-lace-up-front-mini-skirt_2.jpg",Contemporary,Small,Skirts,"Excellent, minor wrinkles",Black,true,true,Cotton Blend,{},[],[],,,,2,0,2,23,available,,2026-03-31 09:38:24.07276,2026-04-10 19:10:04.523138
18,Black Faux Leather Lace Trim Slip Dress,"Black mini slip dress with spaghetti straps and a delicate lace/fringe trim neckline. Features a crinkled faux leather-like body, giving it an edgy yet feminine appeal.

Style notes: Layer over a t-shirt for a casual look or wear alone with heels for a night out.",30.00,30.00,"18_black-faux-leather-lace-trim-slip-dress_1.jpg, 18_black-faux-leather-lace-trim-slip-dress_2.jpg",Unknown,Small/Medium,Dresses,"Good, with some visible wrinkling on the fabric.",Black,true,true,"Faux Leather / Coated Fabric (body), Lace (trim)",{},[],[],,,,2,0,2,22,available,,2026-03-31 09:39:12.345628,2026-04-10 19:10:03.31551
19,Black  Sweetheart Skater Dress,"Classic black  dress with a sweetheart neckline and a flared skater skirt. Features thin, detachable straps and a back zipper closure. Made from a matte, possibly stretch knit fabric.

Style notes: Pair with heels and statement jewelry for a night out, or layer with a jacket for a casual chic look.",35.00,35.00,"19_black-sweetheart-skater-dress_1.jpg, 19_black-sweetheart-skater-dress_2.jpg",Contemporary,Small,Dresses,Excellent,Black,true,true,Knit Blend,{},[],[],,,,2,0,2,21,available,,2026-03-31 09:45:37.801356,2026-04-10 19:10:01.935451
20,Black Faux Leather Lace-Up Mini Skirt,"Black faux leather mini skirt with a glossy finish. Features a prominent lace-up front with silver eyelets and black ribbon. A chic, edgy style.

Style notes: Pair with a band tee and combat boots for an edgy look, or a silky camisole and heels for a night out.",40.00,40.00,"20_black-faux-leather-lace-up-mini-skirt_1.jpg, 20_black-faux-leather-lace-up-mini-skirt_2.jpg",Contemporary Fashion,Small/Medium,Skirts,Excellent,Black,true,true,Faux Leather,{},[],[],,,,4,0,2,20,available,,2026-04-06 10:05:45.74187,2026-04-10 19:10:00.415164
21,Dusty Blue Faux Suede Cross Detail Mini Skirt,"Dusty blue faux suede mini skirt with large cross overlays on the front. Features silver-tone grommets around the waist and hem, and a side zipper. Distressed finish.

Style notes: Pair with combat boots and a graphic tee for an edgy, alternative look.",45.00,45.00,"21_dusty-blue-faux-suede-cross-detail-mini-skirt_1.jpg, 21_dusty-blue-faux-suede-cross-detail-mini-skirt_2.jpg",EGO,UK 10 / US 6 / EU 38,Skirts,"Excellent, appears new",Dusty Blue,true,true,Faux Suede,{},[],[],,,,0,0,2,19,available,,2026-04-07 12:45:22.265565,2026-04-10 19:09:58.857244
24,Holographic One-Shoulder Crop Top & Ruched Mini Skirt Set,"Iridescent silver two-piece set featuring a one-shoulder crop top with side ties and a matching ruched mini skirt. Made from a stretchy, shimmering fabric.

Style notes: Perfect for festivals, rave wear, or a bold party statement.",55.00,55.00,24_holographic-one-shoulder-crop-top-ruched-mini-skir_1.jpg,shein,Small/Medium,Two-Piece Sets,New,Holographic Silver,true,true,Stretchy Polyester Blend,{},[],[],,,,0,0,2,18,available,,2026-04-07 14:04:59.428711,2026-04-10 19:09:45.389246
25,Off-White Faux Leather Biker Mini Skirt,"Off-white faux leather mini skirt with an asymmetrical black zipper. Features a lace-up side detail and front pockets, giving it a moto-inspired look.

Style notes: Pair with a graphic tee and combat boots for an edgy look, or dress up with a fitted top and heels.",35.00,35.00,"25_off-white-faux-leather-biker-mini-skirt_1.jpg, 25_off-white-faux-leather-biker-mini-skirt_2.jpg",Bershka,Small/Medium,Skirts,Good,Off-White,true,true,Faux Leather,{},[],[],,,,0,0,2,18,available,,2026-04-07 14:07:57.306176,2026-04-10 19:09:57.283223
26,Cream Structured Corset Top,"Cream structured corset top with wide straps and a curved neckline. Features visible vertical boning channels and a pointed front hem. Made from a woven fabric.

Style notes: Pair with high-waisted jeans or a flowy skirt for a chic, trendy look.",25.00,25.00,"26_cream-structured-corset-top_1.jpg, 26_cream-structured-corset-top_2.jpg",H&M,Small/Medium,Tops,"Excellent, appears new",Cream,true,true,Woven Fabric,{},[],[],,,,0,0,2,31,available,,2026-04-07 14:09:36.194977,2026-04-10 19:10:10.900608
27,Black Open-Knit Halter Bikini Top with Gold Ring,"Black open-knit halter top with triangle cups and a prominent gold-tone irregular O-ring. Features tie closures and a sheer, textured design.

Style notes: Pair with high-waisted shorts or a maxi skirt for a chic beach or festival look.",40.00,40.00,27_black-open-knit-halter-bikini-top-with-gold-ring_1.jpg,SHEINBAE,"XS, / US 2 / EU 34",Swimwear Tops,New with tags,Black,true,true,Open-knit synthetic blend,{},[],[],,,,0,0,2,17,available,,2026-04-07 14:10:41.237709,2026-04-10 19:09:55.571493
28,Black Pink Plaid Pleated Mini Skirt with Lace Trim,"Black, white, and pink plaid pleated mini skirt with a delicate black lace trim at the hem. Made from a woven fabric, offering a punk-inspired or preppy aesthetic.

Style notes: Pair with a graphic tee and combat boots for an edgy look, or a fitted top and loafers for a preppy aesthetic.",25.00,25.00,28_black-pink-plaid-pleated-mini-skirt-with-lace-trim_1.jpg,shein,"Small,",Skirts,Excellent,Black,true,true,"Woven fabric, Lace",{},[],[],,,,0,0,2,16,available,,2026-04-07 14:13:06.279317,2026-04-10 19:09:53.84401
29,White One-Shoulder Cut-Out Ruched Bodycon Mini Dress,"White one-shoulder mini dress with a deep V-cutout and side waist cut-outs. Features a bodycon fit and all-over ruching in a stretchy knit fabric.

Style notes: Pair with strappy heels and minimalist jewelry for a striking party or club look.",65.00,65.00,"29_white-one-shoulder-cut-out-ruched-bodycon-mini-dre_1.jpg, 29_white-one-shoulder-cut-out-ruched-bodycon-mini-dre_2.jpg, 29_white-one-shoulder-cut-out-ruched-bodycon-mini-dre_3.jpg",shein,"XS, / US 2 / EU 34",Dresses,New,White,true,false,Stretchy Knit,{},[],[],,,,0,0,2,15,available,,2026-04-07 14:16:18.175107,2026-04-10 19:09:52.109228
30,Fuchsia Faux Leather Bustier Crop Top,"Vibrant fuchsia faux leather bustier crop top with thin spaghetti straps. Features a structured sweetheart neckline and visible seam detailing. New with tags.

Style notes: Pair with high-waisted jeans or a skirt for a bold, edgy evening look.",40.00,40.00,"30_fuchsia-faux-leather-bustier-crop-top_1.jpg, 30_fuchsia-faux-leather-bustier-crop-top_2.jpg",PrettyLittleThing,"XS, / US 2 / EU 34",Bustiers & Corsets,New with tags,Fuchsia,true,true,Faux Leather,{},[],[],,,,0,0,2,32,available,,2026-04-07 14:16:57.397707,2026-04-10 19:10:11.489294
31,Miss Sixty Black Faux Leather Mini Skirt,"Black faux leather mini skirt with a slightly distressed, crinkled texture. Features a zip fly, button closure, and five-pocket styling.

Style notes: Pair with a band tee and combat boots for an edgy look, or dress up with a silk cami and heels.",40.00,40.00,"31_miss-sixty-black-faux-leather-mini-skirt_1.jpg, 31_miss-sixty-black-faux-leather-mini-skirt_2.jpg, 31_miss-sixty-black-faux-leather-mini-skirt_3.jpg",Miss Sixty,Small (S),Skirts,Excellent,Black,true,true,Faux Leather,{},[],[],,,,0,0,2,14,available,,2026-04-07 14:22:04.9652,2026-04-10 19:09:50.214961
32,Black and Blue ACE Cheerleading Uniform,"Black long-sleeve cheer uniform with royal blue and white accents. Features 'ACE' logo, mesh sleeves, and rhinestone details. Made from stretchy performance fabric.

Style notes: Perfect for cheerleading performances or practice, offering both style and flexibility.",40.00,40.00,"32_black-and-blue-ace-cheerleading-uniform_1.jpg, 32_black-and-blue-ace-cheerleading-uniform_2.jpg",Teamwear Brand,S/M,Cheerleading Uniform,Excellent,"Black, Royal Blue, White",true,true,"Performance Knit, Mesh",{},[],[],,,,0,0,2,13,available,,2026-04-07 14:24:00.649364,2026-04-10 19:09:46.463354
33,Black Contrast Stitch Button-Front Mini Skirt,"Black A-line mini skirt with prominent white contrast stitching. Features a full button-front closure with silver-toned buttons. Made from a sturdy cotton blend.

Style notes: This versatile skirt pairs well with a graphic tee and sneakers for a casual look, or a blouse and boots for a chic ensemble.",25.00,25.00,"33_black-contrast-stitch-button-front-mini-skirt_1.jpg, 33_black-contrast-stitch-button-front-mini-skirt_2.jpg",Forever 21,Unknown,Skirts,"Good, minor wear",Black,true,false,Cotton blend,{},[],[],,,,0,0,2,10,available,,2026-04-07 14:26:11.025256,2026-04-10 19:09:40.280082
34,Black Faux Leather Biker Mini Skirt,"Edgy black faux leather mini skirt with a textured finish. Features lace-up sides, a zippered pocket, and a studded waistband for a biker-chic look.

Style notes: Pair with a band tee and combat boots for an edgy look, or dress up with a silk cami and heels.",35.00,35.00,"34_black-faux-leather-biker-mini-skirt_1.jpg, 34_black-faux-leather-biker-mini-skirt_2.jpg, 34_black-faux-leather-biker-mini-skirt_3.jpg",Pull&Bear,Small,Skirts,New with tags,Black,true,false,Faux Leather,{},[],[],,,,1,0,2,9,available,,2026-04-07 14:28:16.556282,2026-04-10 19:09:38.219852
35,Black Crinkled Cowl Neck Slip Dress,"Black mini slip dress featuring thin adjustable spaghetti straps and a draped cowl neckline. The fabric has a distinct crinkled, textured finish.

Style notes: Pair with a leather jacket and boots for an edgy look, or dress up with heels for an evening out.",30.00,30.00,"35_black-crinkled-cowl-neck-slip-dress_1.jpg, 35_black-crinkled-cowl-neck-slip-dress_2.jpg",bershka,Small/Medium,Dresses,"Good, but wrinkled",Black,true,false,Crinkled Polyester Blend,{},[],[],,,,2,0,2,8,available,,2026-04-07 14:32:03.178698,2026-04-10 19:09:36.159546
36,Eclectic Patchwork Faux Leather Handbag,"Eclectic black faux leather and denim patchwork handbag with woven fabric panels in red, white, and grey patterns. Features dual top handles and a detachable crossbody strap.

Style notes: Perfect for adding an eclectic, bohemian touch to casual denim looks or earthy-toned ensembles.",50.00,50.00,"36_eclectic-patchwork-faux-leather-handbag_1.jpg, 36_eclectic-patchwork-faux-leather-handbag_2.jpg",Desigual,Medium,Handbags,"Good, with minor wear on handles",Black (multi-color patchwork),true,true,"Faux leather, denim, woven fabric",{},[],[],,,,2,0,2,6,available,,2026-04-10 16:04:18.831089,2026-04-10 19:09:33.925712
37,Mustard Yellow Floral Jacquard Halter Mini Dress,"Vibrant mustard yellow mini dress featuring a halter neckline and intricate floral jacquard pattern. Designed with a fitted bodice and a playful tiered, flared skirt.

Style notes: Ideal for summer events, pair with espadrilles or dress up with heels and delicate jewelry.",45.00,45.00,"37_mustard-yellow-floral-jacquard-halter-mini-dress_1.jpg, 37_mustard-yellow-floral-jacquard-halter-mini-dress_2.jpg",Boutique,M,Dresses,Excellent,Mustard Yellow,true,true,Jacquard,{},[],[],,,,2,0,2,11,available,,2026-04-10 16:15:03.39091,2026-04-10 19:09:42.340835
38,Black Crinkled Faux Leather Shoulder Bag,"Black, crinkled faux leather shoulder bag with a slouchy silhouette. Features a top zipper closure, front zip pocket, and side snap pockets. Silver-tone hardware.

Style notes: This versatile bag is perfect for everyday use, adding a casual-chic touch to any outfit.",50.00,50.00,"38_black-crinkled-faux-leather-shoulder-bag_1.jpg, 38_black-crinkled-faux-leather-shoulder-bag_2.jpg",Generic Fashion Brand,Custom,Bags,Like New,Black,true,true,Faux Leather,{},[],[],,,,3,0,2,5,available,,2026-04-10 16:26:27.469828,2026-04-10 19:09:31.766331
39,Brown Suede & Leather Hobo Shoulder Bag,"Dark brown suede hobo bag with a tan leather front panel and adjustable shoulder strap. Features decorative side zippers with leather pull ties, perfect for everyday wear.

Style notes: This versatile bag complements casual outfits and adds a relaxed touch to smart-casual looks.",45.00,45.00,"39_brown-suede-leather-hobo-shoulder-bag_1.jpg, 39_brown-suede-leather-hobo-shoulder-bag_2.jpg",Unbranded/Contemporary,Custom,Handbags & Shoulder Bags,Like New,Brown (Dark Brown & Tan),true,false,Suede and Leather,{},[],[],,,,0,0,2,4,available,,2026-04-10 16:39:33.33847,2026-04-10 19:09:29.612757
40,Denim Corset-Style Shoulder Bag,"Dark wash denim handbag with shiny black shoulder straps. Features a corset-style lace-up front and side lacing details, giving it a unique, edgy look.

Style notes: Pair this unique bag with casual denim outfits or a simple dress to add an edgy, nostalgic touch.",45.00,45.00,"40_denim-corset-style-shoulder-bag_1.jpg, 40_denim-corset-style-shoulder-bag_2.jpg",Fashion Brand,Custom,Shoulder Bags,Like New,Dark Blue,true,true,"Denim, Faux Leather",{},[],[],,,,0,0,2,3,available,,2026-04-10 16:44:50.930277,2026-04-10 19:09:27.362405
41,Black Goth-Inspired Canvas Shoulder Bag,"Black canvas shoulder bag with patent faux leather trim. Features front lacing, silver O-rings, and buckle details on pockets and straps, giving it a gothic aesthetic.

Style notes: Ideal for adding an edgy, alternative touch to casual or gothic ensembles.",50.00,50.00,"41_black-goth-inspired-canvas-shoulder-bag_1.jpg, 41_black-goth-inspired-canvas-shoulder-bag_2.jpg",Alternative/Gothic Style,Custom,Shoulder Bags,Like New,Black,true,true,"Canvas, Patent Faux Leather, Metal",{},[],[],,,,0,0,2,2,available,,2026-04-10 16:46:39.41079,2026-04-10 19:09:25.037097
42,CATWALK Black & Grey Fabric Shoulder Bag,"Black fabric shoulder bag with contrasting grey straps and trim. Features multiple studded front pockets and silver-tone hardware, offering a casual, utilitarian style.

Style notes: Perfect for a casual everyday look, pairing well with jeans and a t-shirt or athleisure wear.",35.00,35.00,42_catwalk-black-grey-fabric-shoulder-bag_1.jpg,CATWALK, Custom,Shoulder Bags,Like New,Black with Grey Accents,true,true,Nylon/Fabric,{},[],[],,,,0,0,2,1,available,,2026-04-10 17:11:09.103414,2026-04-10 19:09:22.757668
43,Olive Green Plaid Pleated Mini Skirt,"Chic olive green and cream plaid mini skirt with a flattering pleated design. Features a structured waistband and a short, flared silhouette.

Style notes: Pair with a fitted knit top and boots for a stylish academic or preppy look.",25.00,25.00,43_olive-green-plaid-pleated-mini-skirt_1.jpg,Stradivarius,"36, M, S",Skirts,Excellent,Olive Green,true,true,Woven Blend,{},[],[],,,,0,0,2,13,available,,2026-04-10 17:16:10.352814,2026-04-10 19:09:48.302861
44,Brown Leather Slouchy Hobo Shoulder Bag,"A slouchy brown leather shoulder bag with a hobo silhouette. Features contrast stitching, an adjustable strap, and a unique iridescent mirror tag. The two-tone brown design adds depth.

Style notes: Pair this versatile bag with casual denim or a bohemian dress for an effortless everyday look.",60.00,60.00,"44_brown-leather-slouchy-hobo-shoulder-bag_1.jpg, 44_brown-leather-slouchy-hobo-shoulder-bag_2.jpg",Unbranded,Custom,Shoulder Bags,Like New,Brown (Two-tone),true,true,Leather,{},[],[],,,,0,0,2,0,available,,2026-04-10 17:22:02.693155,2026-04-10 19:09:20.434582
45,Orange Mesh Corset Bustier Top,"Vibrant orange-red sheer mesh bustier top with delicate spaghetti straps. Features visible boning details and a structured, corset-inspired silhouette.

Style notes: Pair with high-waisted jeans or a skirt for a trendy, edgy look, or layer under a blazer.",40.00,40.00,45_orange-mesh-corset-bustier-top_1.jpg,Garage,"M, S",Bustiers & Corsets,New with Tags,Orange-Red,true,true,Mesh,{},[],[],,,,0,0,2,33,available,,2026-04-10 18:51:09.131184,2026-04-10 19:10:12.047523
46,Burgundy Ruffled Sweetheart Corset Top,"Burgundy corset-style top featuring a sweetheart neckline with ruffled trim. It has thin spaghetti straps and visible boning details for a structured silhouette.

Style notes: Pair with high-waisted jeans or a skirt for a chic, evening-ready look.",35.00,35.00,"46_burgundy-ruffled-sweetheart-corset-top_1.jpg, 46_burgundy-ruffled-sweetheart-corset-top_2.jpg",Contemporary Fashion,S/M,Corset Tops,Excellent,Burgundy,true,true,Polyester Blend,{},[],[],,,,0,0,2,0,available,,2026-04-17 13:50:03.251893,2026-04-17 13:50:03.251893
47,Red and Black Lace Corset Top,"Strapless red and black lace corset top with front ribbon lacing. Features black floral lace overlay on red fabric, trimmed with scalloped lace and sequins.

Style notes: Pair with a high-waisted skirt or leather pants for a dramatic evening look, or layer under a blazer for a chic edge.",30.00,30.00,"47_red-and-black-lace-corset-top_1.jpg, 47_red-and-black-lace-corset-top_2.jpg",Fashion Retailer,"S, M",Corset Top,Excellent,Red and Black,true,true,"Lace, Polyester, Sequins",{},[],[],,,,0,0,2,0,available,,2026-04-17 14:05:35.778023,2026-04-17 14:05:35.778023
48,Black Ruched Strapless Tiered Mini Dress,"Black strapless mini dress featuring a ruched, form-fitting bodice. The skirt is composed of multiple tiers of ruffled, sheer fabric, creating a playful silhouette.

Style notes: Pair with heels and statement jewelry for a chic evening or party look.",25.00,25.00,48_black-ruched-strapless-tiered-mini-dress_1.jpg,Contemporary Brand,"M, S",Dresses,Good,Black,true,true,Polyester Blend,{},[],[],,,,0,0,2,0,available,,2026-04-17 14:45:31.185731,2026-04-17 14:45:31.185731
49,Monochrome Snakeskin Print Mini Skirt,"Monochrome snakeskin print mini skirt with a striking black, white, and grey pattern. Features an exposed silver-tone front zipper with a circular O-ring pull tab. 
 style_notes: Pair with a simple black top and boots for an edgy evening look, or a white tee and sneakers for a casual vibe.
  ",25.00,25.00,"49_monochrome-snakeskin-print-mini-skirt_1.jpg, 49_monochrome-snakeskin-print-mini-skirt_2.jpg",Contemporary,S/M,AI Detected,Excellent,Black and White,true,true,Faux Leather,{},[],[],,,,0,0,2,0,available,,2026-04-17 15:46:15.142317,2026-04-17 15:46:15.142317
50,George Gina & Lucy Brown Nylon Multi-Pocket Tote Bag,"Brown nylon tote bag with black accents and silver-tone hardware. Features multiple exterior zippered pockets and a prominent carabiner detail, offering a utilitarian-chic style.

Style notes: This versatile tote is perfect for adding a casual, utilitarian-chic touch to everyday outfits or for practical travel.",50.00,50.00,"50_george-gina-lucy-brown-nylon-multi-pocket-tote-bag_1.jpg, 50_george-gina-lucy-brown-nylon-multi-pocket-tote-bag_2.jpg",George Gina & Lucy,Medium-Large,Tote Bags,Very Good,Brown,true,true,Nylon,{},[],[],,,,0,0,2,0,available,,2026-04-17 15:54:52.489339,2026-04-17 15:54:52.489339
51, Gold Croc-Embossed Logo Hobo Bag,"Gold hobo bag with a mix of croc-embossed and logo-printed faux leather. Features a prominent silver 'G' logo with rhinestones and stud detailing.

Style notes: Pair this statement bag with neutral outfits to add a pop of metallic glam.",35.00,35.00,51_gold-croc-embossed-logo-hobo-bag_1.jpg,Contemporary,Medium,Shoulder Bag,"Good, with minor signs of wear consistent with age.",Gold,true,true,Faux Leather,{},[],[],,,,0,0,2,0,available,,2026-04-17 20:28:09.356023,2026-04-17 20:28:09.356023
52,Patchwork Monogram Shoulder Bag,"patchwork shoulder bag featuring various faux leather textures including monogram, patent, metallic, and animal prints in black, white, grey, and silver tones.
Style notes: Pair this statement bag with a monochromatic outfit to let its unique patchwork design shine.",60.00,59.96,52_patchwork-monogram-shoulder-bag_1.jpg,Contemporary,Medium,Shoulder Bags,"Good, with minor wear on handles.","Black, White, Grey, Silver",true,true,Faux Leather,{},[],[],,,,0,0,2,0,available,,2026-04-17 20:43:18.926419,2026-04-17 20:43:18.926419
53,Black Faux Leather Biker Shorts,"Black faux leather shorts featuring a high-waisted fit and diagonal silver-tone zipper pockets. These short-length bottoms offer a sleek, edgy aesthetic.

Style notes: Pair with a graphic tee and combat boots for a casual edgy look, or dress up with a silk cami and heels.",25.00,75.00,"53_black-faux-leather-biker-shorts_1.jpg, 53_black-faux-leather-biker-shorts_2.jpg",Contemporary,Small,Women's Shorts,Excellent,Black,true,true,Faux Leather,{},[],[],,,,0,0,2,0,available,,2026-04-21 08:45:26.331802,2026-04-21 08:45:26.331802
54,Iridescent Sequin Cami Crop Top,"Black cami crop top covered in small, iridescent sequins. Features thin spaghetti straps and a straight neckline, perfect for a party look.

Style notes: Pair with high-waisted jeans or a skirt for a dazzling evening or festival outfit.",15.00,15.00,"54_iridescent-sequin-cami-crop-top_1.jpg, 54_iridescent-sequin-cami-crop-top_2.jpg",Bershka,"S, M",Crop Tops,New with tags,"Black, Iridescent",true,true,"Sequins, Polyester blend",{},[],[],,,,0,0,2,0,available,,2026-04-22 09:00:11.59208,2026-04-22 09:00:11.59208
